Category: All categories

Month,emlak: (Turkey)
2013-01,77
2013-02,81
2013-03,86
2013-04,79
2013-05,86
2013-06,72
2013-07,75
2013-08,71
2013-09,79
2013-10,65
2013-11,67
2013-12,57
2014-01,62
2014-02,62
2014-03,61
2014-04,68
2014-05,73
2014-06,63
2014-07,62
2014-08,70
2014-09,63
2014-10,57
2014-11,68
2014-12,59
2015-01,58
2015-02,61
2015-03,71
2015-04,66
2015-05,69
2015-06,62
2015-07,61
2015-08,63
2015-09,55
2015-10,54
2015-11,62
2015-12,56
2016-01,52
2016-02,60
2016-03,64
2016-04,60
2016-05,69
2016-06,54
2016-07,57
2016-08,67
2016-09,54
2016-10,60
2016-11,60
2016-12,48
2017-01,53
2017-02,71
2017-03,63
2017-04,56
2017-05,67
2017-06,54
2017-07,60
2017-08,58
2017-09,57
2017-10,54
2017-11,55
2017-12,47
2018-01,49
2018-02,51
2018-03,57
2018-04,55
2018-05,64
2018-06,51
2018-07,59
2018-08,48
2018-09,51
2018-10,42
2018-11,41
2018-12,35
2019-01,37
2019-02,43
2019-03,44
2019-04,38
2019-05,50
2019-06,42
2019-07,45
2019-08,48
2019-09,47
2019-10,44
2019-11,50
2019-12,43
2020-01,45
2020-02,48
2020-03,38
2020-04,28
2020-05,54
2020-06,100
2020-07,68
2020-08,57
2020-09,49
2020-10,46
2020-11,46
2020-12,41
2021-01,43
2021-02,42
2021-03,47
2021-04,39
2021-05,55
2021-06,51
2021-07,45
2021-08,48
2021-09,50
2021-10,42
2021-11,51
2021-12,41
2022-01,42
